,forcast,Lower CI,Upper CI
2022-12-31,2465821.644818884,728409.8319122475,4203233.45772552
2023-01-01,4765681.205012397,2961650.0478855446,6569712.362139249
2023-01-02,6097629.866301252,4289674.522321827,7905585.210280676
2023-01-03,5915565.615233106,3945530.558268752,7885600.672197459
2023-01-04,5443734.849367718,3399461.4432852603,7488008.255450176
2023-01-05,4197131.302952937,2151769.6110869073,6242492.994818967
2023-01-06,2736567.9432732356,655764.464421826,4817371.422124645
2023-01-07,2825330.5750416997,628622.9616994155,5022038.188383983
2023-01-08,4289059.6954219425,2060888.848892399,6517230.541951486
2023-01-09,5587089.602743128,3340494.7721724105,7833684.433313847
2023-01-10,5954814.87777409,3677149.3091844725,8232480.446363706
2023-01-11,5257913.114277043,2972789.3312308863,7543036.8973232005
2023-01-12,3781531.0021243137,1494433.9376402511,6068628.066608377
2023-01-13,2619390.010653457,313563.2845509555,4925216.736755959
2023-01-14,2775596.5676443786,435388.68454831466,5115804.450740443
2023-01-15,4047440.172842214,1683040.111605369,6411840.234079059
2023-01-16,5390121.7890768405,3009199.6059173057,7771043.972236375
2023-01-17,5847424.2055498855,3458765.7240357185,8236082.687064053
2023-01-18,5074353.258584607,2684531.997441867,7464174.519727347
2023-01-19,3592954.518281805,1201849.0338032735,5984060.002760336
2023-01-20,2525047.4618386035,125799.92812990304,4924294.995547304
2023-01-21,2687973.4735412714,271708.51171427965,5104238.435368263
2023-01-22,3921176.242581924,1487686.2183126747,6354666.266851174
2023-01-23,5273338.679816911,2829908.6372735784,7716768.722360244
2023-01-24,5731643.433273639,3286030.6604001406,8177256.206147136
2023-01-25,4940344.979626844,2494682.077127952,7386007.882125735
2023-01-26,3480730.19088053,1034831.2119501717,5926629.169810888
2023-01-27,2452697.7079238663,3110.720652696211,4902284.695195036
2023-01-28,2624543.388006155,164477.31853559054,5084609.457476719
2023-01-29,3848777.9115326335,1376696.5842861165,6320859.23877915
2023-01-30,5191658.005430402,2713743.1841419465,7669572.8267188575
2023-01-31,5636734.9880226925,3158275.3645105595,8115194.6115348255
2023-02-01,4842663.206873799,2364078.486138041,7321247.927609556
2023-02-02,3403975.8540553492,925388.4639524701,5882563.244158229
2023-02-03,2402801.4876964525,-77552.74624240771,4883155.721635313
2023-02-04,2586451.471039925,98954.445703167,5073948.496376682
2023-02-05,3805545.063493152,1309400.395613579,6301689.731372725
2023-02-06,5132736.148369838,2633011.8032198236,7632460.493519852
2023-02-07,5562688.882895221,3062896.45062963,8062481.315160812
2023-02-08,4768819.032676227,2268451.009401148,7269187.055951307
2023-02-09,3348825.9262232366,848269.8316381737,5849382.0208083
2023-02-10,2371167.743905389,-130271.88532738201,4872607.37313816
2023-02-11,2566980.4456851855,60320.7213592683,5073640.170011103
2023-02-12,3780506.7587217265,1267307.5742794666,6293705.943163986
2023-02-13,5089986.5889928825,2574464.398533218,7605508.779452547
