index,Event Name,Swim time,Swim date,Event description,Team Code,Team Name,Athlete Full Name,Gender,Athlete birth date,Rank_Order,City,Country Code,Duration (hh:mm:ss:ff)
0,European Championships 2022,46.86,8/13/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,9/15/2004,1,Rome,ITA,0:0:46:86
1,13th FINA World Championships 2009,46.91,7/30/2009,Men 100 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,1/10/1987,2,Rome,ITA,0:0:46:91
2,French National Championships (50m),46.94,4/23/2009,Men 100 Freestyle LCM Male,FRA,France,"BERNARD, Alain",M,5/1/1983,3,Montpellier,FRA,0:0:46:94
3,18th FINA World Championships 2019,46.96,7/25/2019,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,8/16/1996,4,Gwangju,KOR,0:0:46:96
4,European Championships 2022,46.98,8/12/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,9/15/2004,5,Rome,ITA,0:0:46:98
5,Olympic Games Tokyo 2020,47.02,7/29/2021,Men 100 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,8/16/1996,6,Tokyo,JPN,0:0:47:02
6,Australian National Championships (50m),47.04,4/10/2016,Men 100 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,5/13/1994,7,Adelaide,AUS,0:0:47:04
7,Olympic Games Beijing 2008,47.05,8/13/2008,Men 100 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,8/30/1985,8,Beijing,CHN,0:0:47:05
8,8th FINA World Junior Swimming Championships 2022,47.07,8/30/2022,Men 100 Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,9/15/2004,9,Lima,PER,0:0:47:07
9,Olympic Games Tokyo 2020,47.08,7/29/2021,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,6/25/1998,10,Tokyo,JPN,0:0:47:08
10,18th FINA World Championships 2019,47.08,7/25/2019,Men 100 Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,6/25/1998,11,Gwangju,KOR,0:0:47:08
