,Cycle_Index,Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL,Battery ID
0,1,2595.3,1151.4885,3.67,3.2110000000000003,5460.001,6755.01,10777.82,1112,1
1,2,7408.64,1172.5125,4.246,3.22,5508.991999999999,6762.02,10500.35,1111,1
2,3,7393.76,1112.992,4.249,3.2239999999999998,5508.993,6762.02,10420.38,1110,1
3,4,7385.5,1080.320667,4.25,3.225,5502.016,6762.02,10322.81,1109,1
4,6,65022.75,29813.487,4.29,3.398,5480.991999999999,53213.54,56699.65,1107,1
5,7,3301.18,1194.235077,3.674,3.5039999999999996,5023.633636,5977.38,5977.38,1106,1
6,8,5955.3,1220.135329,4.013,3.5010000000000003,5017.495,5967.55,5967.55,1105,1
7,9,5951.2,1220.135329,4.013999999999999,3.5010000000000003,5017.496,5962.21,5962.21,1104,1
8,10,5945.44,1216.920914,4.013999999999999,3.5010000000000003,5009.993667,5954.91,5954.91,1103,1
9,11,435251.49,263086.078,4.2669999999999995,3.0860000000000003,269.98400000000004,443700.02,443700.02,1102,1
10,12,3228.58,1135.3493330000001,3.6889999999999996,3.485,5033.075692,5969.89,5969.89,1101,1
11,13,6019.9,1058.279724,4.045,3.475,5053.8428460000005,5980.77,5980.77,1100,1
12,14,6026.59,1049.4878449999999,4.047,3.477,5046.4295,5966.82,5966.82,1099,1
13,15,6008.07,1065.372059,4.045,3.48,5033.075769,5954.47,5954.47,1098,1
14,16,423271.35,168773.265,4.27,3.108,219923.996,430028.84,430028.84,1097,1
15,17,2261.34,883.2,4.038,3.9010000000000002,1949.664,2922.69,6070.11,1096,1
16,18,2259.46,883.199,4.042,3.373,5181.377,6161.38,9310.98,1095,1
17,19,2256.61,878.4,4.042,3.3739999999999997,5181.375,6154.37,9296.64,1094,1
18,20,2252.83,873.6010000000001,4.043,3.3739999999999997,5174.334,6147.33,9243.58,1093,1
19,21,2250.62,868.801,4.044,3.3739999999999997,5160.289000000001,6140.29,9245.53,1092,1
20,22,2248.6,868.797,4.044,3.375,5160.321,6133.34,9248.32,1091,1
21,23,2245.05,864.0,4.044,3.3739999999999997,5153.414000000001,6126.4,9215.78,1090,1
22,24,2242.53,861.5939999999999,4.044,3.3760000000000003,5146.3679999999995,6119.36,9190.62,1089,1
23,25,2239.56,859.196,4.044,3.377,5139.3679999999995,6112.36,9179.43,1088,1
24,26,2237.35,856.797,4.044,3.377,5132.25,6105.27,9181.21,1087,1
25,27,2236.26,856.796,4.045,3.377,5125.344,6098.34,9198.3,1086,1
26,28,2234.38,852.0,4.045,3.378,5118.3679999999995,6091.36,9176.38,1085,1
27,29,2232.16,852.0,4.045,3.378,5111.3279999999995,6084.33,9145.58,1084,1
28,30,2230.78,849.6089999999999,4.045,3.377,5111.266,6084.25,9137.28,1083,1
29,31,2229.16,849.5939999999999,4.045,3.377,5104.359,6077.38,9131.56,1082,1
30,32,2227.64,847.172,4.045,3.378,5097.344,6077.34,9142.98,1081,1
31,33,2226.38,847.203,4.045,3.377,5090.36,6070.36,9149.66,1080,1
32,34,2223.88,844.797,4.045,3.378,5090.312,6063.3,9133.25,1079,1
33,35,2222.62,840.0,4.045,3.3789999999999996,5083.359,6056.36,9112.39,1078,1
34,36,2221.02,842.4060000000001,4.046,3.378,5076.266,6049.28,9112.14,1077,1
35,37,2220.19,840.0,4.046,3.378,5076.344,6049.38,9136.16,1076,1
36,38,2218.41,837.5939999999999,4.046,3.3930000000000002,5069.313,6042.31,9101.06,1075,1
37,39,2216.89,835.203,4.046,3.3789999999999996,5062.375,6035.36,9112.24,1074,1
38,40,2214.97,825.5939999999999,4.025,3.6039999999999996,5026.312,5999.0,9212.78,1073,1
39,41,2219.75,828.0,4.041,3.6860000000000004,5020.312,6000.31,9174.41,1072,1
40,42,2222.5,835.188,4.045,3.3819999999999997,5058.7970000000005,6035.28,9125.16,1071,1
41,43,2220.53,832.813,4.045,3.3789999999999996,5069.375,6049.38,9155.72,1070,1
42,44,2217.28,830.4069999999999,4.045,3.3789999999999996,5062.375,6035.38,9115.94,1069,1
43,45,2214.66,828.0,4.045,3.3810000000000002,5048.343,6028.34,9122.81,1068,1
44,46,2211.25,828.0,4.044,3.3810000000000002,5041.25,6021.25,9074.06,1067,1
45,47,2210.59,828.0,4.045,3.3810000000000002,5034.375,6014.38,9118.03,1066,1
46,48,2208.56,825.5939999999999,4.045,3.3819999999999997,5030.734,6007.22,9098.56,1065,1
47,49,2206.88,823.2189999999999,4.045,3.3819999999999997,5027.281,6000.25,9091.78,1064,1
48,50,2203.19,820.812,4.045,3.383,5020.375,5993.38,9083.59,1063,1
49,51,2202.53,820.7819999999999,4.045,3.384,5013.375,5986.38,9089.47,1062,1
50,52,2200.34,816.0,4.044,3.386,5006.344,5979.34,9089.41,1061,1
51,53,2198.19,816.0,4.044,3.385,4999.219,5972.22,9067.53,1060,1
52,54,2197.0,813.5930000000001,4.044,3.387,4992.25,5965.25,9074.62,1059,1
53,55,2195.94,813.5930000000001,4.044,3.387,4988.8595,5965.38,9079.66,1058,1
54,56,2194.12,811.2189999999999,4.044,3.387,4985.344,5958.34,9049.97,1057,1
55,57,2192.56,813.5939999999999,4.044,3.388,4978.281,5958.28,9049.44,1056,1
56,58,2190.75,811.2180000000001,4.044,3.387,4978.313,5951.31,9029.53,1055,1
57,59,2189.5,808.813,4.044,3.388,4971.375,5944.38,9049.91,1054,1
58,60,2188.19,806.437,4.044,3.389,4964.313,5937.31,9059.31,1053,1
59,61,2186.25,806.438,4.043,3.391,4960.8435,5937.38,9027.75,1052,1
60,62,2185.56,806.375,4.043,3.39,4957.375,5930.38,9015.12,1051,1
61,63,2185.12,806.438,4.043,3.39,4957.375,5930.38,9051.06,1050,1
62,64,2179.06,789.562,4.022,3.625,4921.375,5894.0,9069.94,1049,1
63,65,206007.26,-64192.71599999999,4.271,3.1660000000000004,72809.982,84474.65,84474.65,1048,1
64,66,2182.56,793.2,4.004,3.3810000000000002,5213.92,6200.32,9459.46,1047,1
65,67,2182.62,798.0,4.007,3.395,4969.152,5912.35,9114.85,1046,1
66,68,2180.13,797.6,4.007,3.3939999999999997,4969.1784,5912.35,9093.92,1045,1
67,69,2177.34,795.0,4.008,3.3939999999999997,4961.92,5912.32,9058.18,1044,1
68,70,2175.17,795.0,4.007,3.395,4954.782999999999,5912.38,9064.41,1043,1
69,71,2173.44,793.0,4.008,3.398,4947.5509999999995,5912.35,9080.74,1042,1
70,72,2170.56,789.6,4.008,3.397,4940.32,5912.32,9060.73,1041,1
71,73,2168.26,789.6,4.008,3.3989999999999996,4933.121,5876.32,9048.26,1040,1
72,74,2165.54,788.0,4.008,3.3989999999999996,4928.32,5876.32,9027.49,1039,1
73,75,2163.77,786.0,4.008,3.4010000000000002,4918.791,5876.39,9027.52,1038,1
74,76,2162.18,783.6,4.008,3.4010000000000002,4916.321,5876.32,9008.32,1037,1
75,77,2160.17,786.0,4.008,3.4010000000000002,4911.5509999999995,5876.35,9000.64,1036,1
76,78,2158.66,784.0,4.008,3.4010000000000002,4910.359,5876.36,9023.48,1035,1
77,79,2155.94,780.0,4.007,3.4019999999999997,4904.3279999999995,5876.33,8968.09,1034,1
78,80,2154.69,782.4,4.008,3.4019999999999997,4897.159000000001,5840.36,8974.28,1033,1
79,81,2152.42,782.4,4.008,3.403,4889.913,5840.31,8965.95,1032,1
80,82,2151.42,782.4,4.008,3.405,4882.728,5840.33,8962.08,1031,1
81,83,2149.92,778.4,4.008,3.403,4880.343,5840.34,8958.81,1030,1
82,84,2148.48,778.4,4.008,3.404,4875.513,5840.31,8930.36,1029,1
83,85,2147.39,776.4,4.008,3.404,4868.3279999999995,5840.33,8962.02,1028,1
84,86,2145.83,777.0,4.008,3.405,4868.266,5840.27,8942.92,1027,1
85,87,2144.58,775.0,4.008,3.404,4862.312,5804.31,8963.16,1026,1
86,88,2142.5,772.8,4.008,3.405,4856.3279999999995,5804.33,8947.59,1025,1
87,89,2147.06,763.2180000000001,4.018,3.653,4816.312,5788.97,9007.12,1024,1
88,90,2145.16,766.0,4.003,3.7310000000000003,4808.344,5768.34,9026.06,1023,1
89,91,2147.28,774.0,4.006,3.41,4853.944,5804.34,8977.31,1022,1
90,92,2145.28,772.8,4.007,3.406,4861.144,5804.34,8974.09,1021,1
91,93,2143.12,774.0,4.008,3.407,4853.943,5804.34,8977.41,1020,1
92,94,2140.53,770.0,4.008,3.407,4846.744000000001,5804.34,8960.47,1019,1
93,95,2138.88,770.0,4.008,3.407,4839.513,5804.31,8950.19,1018,1
94,96,2137.31,768.0,4.007,3.407,4838.375,5804.38,8971.72,1017,1
95,97,2135.19,769.2,4.007,3.408,4832.375,5804.38,8927.5,1016,1
96,98,2133.34,769.0,4.007,3.408,4825.144,5768.34,8944.38,1015,1
97,99,2130.69,765.6,4.007,3.408,4817.944,5768.34,8896.53,1014,1
98,100,2128.56,768.0,4.007,3.409,4810.744000000001,5768.34,8901.75,1013,1
99,101,2126.97,762.0,4.006,3.41,4803.513,5768.31,8899.03,1012,1
100,102,2125.78,762.0,4.006,3.411,4796.313,5768.31,8913.22,1011,1
101,103,2124.41,764.4,4.006,3.411,4796.375,5768.38,8916.5,1010,1
102,104,2122.03,762.4,4.005,3.411,4789.1502,5732.34,8875.09,1009,1
103,105,2112.0,759.0,4.005,3.411,4781.943,5732.34,8892.59,1008,1
104,106,2118.81,760.8,4.006,3.4130000000000003,4774.744000000001,5732.34,8892.44,1007,1
105,107,2117.62,756.8,4.006,3.412,4767.513,5732.31,8905.44,1006,1
106,108,2115.12,757.2,4.005,3.4139999999999997,4766.375,5732.38,8854.25,1005,1
107,109,2114.31,755.2,4.006,3.4139999999999997,4760.375,5732.38,8898.38,1004,1
108,110,2112.31,753.0,4.005,3.4139999999999997,4753.175,5696.38,8870.56,1003,1
109,111,2111.19,753.0,4.005,3.4139999999999997,4748.375,5696.38,8860.06,1002,1
110,112,2100.94,748.8,3.991,3.415,4745.975,6147.88,8766.5,1001,1
111,113,2109.81,739.187,4.013999999999999,3.674,4690.25,5656.0,8884.06,1000,1
112,115,2124.61,751.2,3.998,3.397,5066.255999999999,6056.26,9425.95,998,1
113,116,2124.16,752.0,3.9989999999999997,3.415,4778.321,5732.32,8951.84,997,1
114,117,2121.79,751.998,4.0,3.415,4781.8240000000005,5732.22,8950.82,996,1
115,118,2119.97,749.6,4.001,3.417,4772.352,5732.35,8959.65,995,1
116,119,2117.7,747.6,4.001,3.417,4767.552,5732.35,8965.47,994,1
117,120,2114.24,747.6,4.001,3.4189999999999996,4760.352,5696.35,8932.74,993,1
118,121,2111.11,744.0,4.001,3.4189999999999996,4753.152,5696.35,8918.18,992,1
119,122,2107.84,744.0,4.001,3.4210000000000003,4742.32,5696.32,8919.01,991,1
120,123,2105.28,740.0,4.001,3.4210000000000003,4731.52,5696.32,8897.66,990,1
121,124,2102.91,738.0,4.001,3.4219999999999997,4724.352,5660.35,8913.22,989,1
122,125,2100.16,740.4,4.001,3.423,4717.121,5660.32,8882.59,988,1
123,126,2098.37,738.4,4.001,3.424,4709.92,5660.32,8886.08,987,1
124,127,2095.59,734.4,4.001,3.425,4702.7429999999995,5660.34,8857.02,986,1
125,128,2093.19,735.0,4.001,3.424,4695.59,5660.39,8846.05,985,1
126,129,2091.2,736.8,4.001,3.425,4688.3279999999995,5624.33,8845.25,984,1
127,130,2089.0,732.8,4.001,3.426,4681.05,5624.25,8839.94,983,1
128,131,2086.91,732.0,4.001,3.427,4673.959,5624.36,8834.91,982,1
129,132,2084.55,731.2,4.001,3.426,4666.713,5624.31,8807.3,981,1
130,133,2083.19,731.2,4.001,3.427,4659.512,5624.31,8812.31,980,1
131,134,2081.8,727.2,4.001,3.428,4652.312,5588.31,8816.34,979,1
132,135,2079.97,727.2,4.001,3.427,4652.281,5588.28,8807.45,978,1
133,136,2078.72,727.2,4.001,3.428,4645.191,5588.39,8820.2,977,1
134,137,2076.91,729.6,4.001,3.427,4640.359,5588.36,8797.52,976,1
135,138,2078.66,717.5930000000001,4.01,3.68,4592.375,5558.0,8897.53,975,1
136,139,2077.22,717.6,3.9960000000000004,3.76,4574.344,5516.34,8858.62,974,1
137,140,2080.69,725.6,3.9989999999999997,3.4330000000000003,4634.344,5588.34,8807.22,973,1
138,141,2079.28,725.6,4.0,3.429,4645.144,5588.34,8828.72,972,1
139,142,2076.56,723.6,4.0,3.429,4637.913,5588.31,8812.88,971,1
140,143,2074.47,726.0,4.0,3.429,4630.7429999999995,5588.34,8809.44,970,1
141,144,2071.62,720.0,4.0,3.431,4623.606,5588.41,8778.0,969,1
142,145,2070.34,722.4062,3.9989999999999997,3.43,4616.312,5552.31,8808.19,968,1
143,146,2069.03,722.4,4.0,3.43,4609.144,5552.34,8804.88,967,1
144,147,2067.62,722.3938,4.0,3.431,4604.313,5552.31,8805.75,966,1
145,148,2065.16,720.8,3.9989999999999997,3.43,4601.913,5552.31,8784.09,965,1
146,149,2063.19,716.7814,3.9989999999999997,3.431,4592.312,5552.31,8806.03,964,1
147,150,2060.94,715.2,3.9989999999999997,3.432,4586.344,5552.34,8776.62,963,1
148,151,2058.47,716.99225,3.9989999999999997,3.4330000000000003,4574.312,5516.31,8743.38,962,1
149,152,2056.81,713.6,3.998,3.4330000000000003,4573.144,5516.34,8739.5,961,1
150,153,2056.25,713.6,3.9989999999999997,3.4330000000000003,4565.913,5516.31,8781.31,960,1
151,154,2054.41,713.6,3.998,3.4339999999999997,4562.375,5516.38,8763.88,959,1
152,155,2052.81,711.6,3.998,3.4339999999999997,4558.7429999999995,5516.34,8734.62,958,1
153,156,2051.94,711.6,3.998,3.435,4551.512,5516.31,8772.62,957,1
154,157,2050.28,712.0,3.998,3.435,4550.406,5516.41,8748.69,956,1
155,158,2049.09,708.0,3.998,3.435,4544.25,5480.25,8772.62,955,1
156,159,2047.5,708.0,3.998,3.435,4544.375,5480.38,8766.19,954,1
157,160,2045.5,706.4,3.997,3.437,4537.113,5480.31,8747.12,953,1
158,161,2043.88,706.4,3.998,3.4360000000000004,4532.313,5480.31,8719.94,952,1
159,162,2043.88,696.0,4.007,3.6910000000000003,4487.312,5453.06,8809.94,951,1
160,163,2063.62,704.8,3.992,3.778,4422.048,5408.45,8837.34,950,1
161,164,2063.94,709.6,3.9939999999999998,3.437,4580.321,5516.32,8844.64,949,1
162,165,2060.42,705.6,3.9939999999999998,3.437,4586.383,5516.38,8830.3,948,1
163,166,2056.9,705.6,3.995,3.437,4574.383,5516.38,8792.38,947,1
164,167,2054.37,705.6,3.995,3.437,4565.916,5516.32,8818.78,946,1
165,168,2051.17,704.0,3.995,3.438,4556.339333,5516.32,8789.41,945,1
166,169,2047.81,702.0,3.995,3.438,4550.352,5480.35,8762.31,944,1
167,170,2045.38,702.4,3.9939999999999998,3.44,4537.152,5480.35,8773.66,943,1
168,171,2042.37,698.3936,3.9939999999999998,3.4410000000000003,4529.959,5480.36,8741.28,942,1
169,172,2039.71,698.4,3.995,3.4410000000000003,4522.721,5480.32,8740.1,941,1
170,173,2036.9,694.4,3.9939999999999998,3.4419999999999997,4514.32,5444.32,8750.37,940,1
171,174,2035.27,694.8,3.995,3.4419999999999997,4508.352,5444.35,8747.84,939,1
172,175,2033.47,694.8,3.9939999999999998,3.443,4501.121,5444.32,8731.49,938,1
173,176,2032.0,692.8,3.9939999999999998,3.443,4493.9722,5444.34,8720.34,937,1
174,177,2030.14,692.8,3.995,3.443,4486.728,5444.33,8684.33,936,1
175,178,2028.0,688.8,3.995,3.444,4484.375,5408.38,8706.36,935,1
176,179,2026.05,691.2,3.9939999999999998,3.444,4478.25,5408.25,8705.12,934,1
177,180,2024.38,687.2020667,3.9939999999999998,3.444,4472.312,5408.31,8708.16,933,1
178,181,2022.75,689.6,3.9939999999999998,3.445,4460.344,5408.34,8713.08,932,1
179,182,2020.77,687.6,3.9939999999999998,3.445,4454.3279999999995,5408.33,8698.22,931,1
180,183,2020.39,686.99225,3.995,3.445,4450.744000000001,5408.34,8709.16,930,1
181,184,2018.94,687.6,3.9939999999999998,3.445,4448.36,5408.36,8701.61,929,1
182,185,2018.08,685.6,3.9939999999999998,3.446,4443.559,5372.36,8710.62,928,1
183,186,2017.06,676.813,4.003,3.697,4389.344,5355.0,8766.66,927,1
184,187,2016.22,676.0,3.989,3.773,4370.343,5336.34,8762.41,926,1
185,188,2021.81,685.0,3.9930000000000003,3.451,4436.344,5372.34,8703.72,925,1
186,189,2020.78,685.6,3.9939999999999998,3.447,4454.375,5408.38,8719.75,924,1
187,190,2018.25,684.0,3.9930000000000003,3.446,4448.375,5372.38,8714.94,923,1
188,191,2016.12,686.4,3.9930000000000003,3.446,4442.344,5372.34,8699.53,922,1
189,192,2014.19,682.3855333,3.9930000000000003,3.447,4436.343,5372.34,8691.94,921,1
190,193,2012.34,680.4,3.9930000000000003,3.448,4429.175,5372.38,8698.09,920,1
191,194,2010.22,680.8,3.9930000000000003,3.448,4421.943,5372.34,8691.31,919,1
192,195,2008.03,676.8,3.9930000000000003,3.448,4414.775,5372.38,8680.53,918,1
193,196,2006.38,676.8,3.9930000000000003,3.449,4412.312,5336.31,8661.19,917,1
194,197,2004.31,676.8,3.9930000000000003,3.449,4406.375,5336.38,8664.91,916,1
195,198,2003.25,675.2,3.992,3.449,4400.375,5336.38,8675.59,915,1
196,199,2001.22,675.2,3.992,3.45,4393.144,5336.34,8663.38,914,1
197,200,1999.81,675.5752,3.991,3.451,4388.312,5336.31,8671.97,913,1
198,201,1998.75,673.6,3.992,3.451,4382.3279999999995,5336.34,8668.19,912,1
199,202,1997.06,673.6,3.992,3.451,4378.713,5336.31,8680.31,911,1
200,203,1996.0,672.0,3.992,3.451,4371.419,5300.22,8657.47,910,1
201,204,1994.91,672.0,3.992,3.451,4370.313,5300.31,8638.31,909,1
202,205,1993.31,672.0,3.991,3.451,4364.344,5300.34,8636.97,908,1
203,206,1992.16,670.4,3.991,3.451,4364.375,5300.38,8640.56,907,1
204,207,1990.62,670.4,3.991,3.451,4357.082,5300.28,8640.44,906,1
205,208,1989.94,666.4,3.991,3.4530000000000003,4349.913,5300.31,8681.19,905,1
206,209,1987.56,668.8,3.991,3.4530000000000003,4346.3435,5300.31,8610.0,904,1
207,210,1985.56,657.625,3.9989999999999997,3.702,4298.375,5257.06,8737.12,903,1
208,211,200892.99,99536.9265,4.269,3.279,68880.004,80526.56,80526.56,902,1
209,212,2010.88,666.0,3.983,3.4339999999999997,4796.352,5804.35,9386.14,901,1
210,213,2014.4,674.4,3.987,3.458,4412.479,5336.48,8762.21,900,1
211,214,2012.29,672.0,3.987,3.4560000000000004,4421.920999999999,5372.32,8765.15,899,1
212,215,2009.31,668.0,3.987,3.458,4414.752,5336.35,8738.72,898,1
213,216,2006.66,668.0,3.987,3.458,4406.321,5336.32,8725.21,897,1
214,217,2003.97,668.0,3.988,3.458,4400.351,5336.35,8736.58,896,1
215,218,2000.64,666.0,3.988,3.458,4393.151,5336.35,8712.19,895,1
216,219,1998.11,660.0,3.988,3.4589999999999996,4382.3820000000005,5300.38,8707.16,894,1
217,220,1995.24,662.4,3.987,3.46,4376.352,5300.35,8718.31,893,1
218,221,1992.42,662.4,3.987,3.46,4364.351,5300.35,8691.45,892,1
219,222,1989.82,658.4,3.987,3.46,4357.05,5300.25,8684.06,891,1
220,223,1986.75,658.8,3.987,3.4610000000000003,4349.951,5300.35,8650.37,890,1
221,224,1985.02,656.8,3.987,3.4610000000000003,4340.383,5264.38,8667.87,889,1
222,225,1982.75,656.8,3.988,3.4610000000000003,4334.344,5264.34,8624.83,888,1
223,226,1981.09,656.8,3.988,3.4610000000000003,4328.329000000001,5264.33,8654.41,887,1
224,227,1978.81,654.0,3.987,3.4619999999999997,4321.128,5264.36,8622.47,886,1
225,228,1976.89,655.2,3.987,3.4610000000000003,4313.959,5264.36,8656.77,885,1
226,229,1974.08,652.0,3.987,3.4619999999999997,4306.713,5228.31,8620.47,884,1
227,230,1972.78,652.0,3.987,3.4619999999999997,4299.512,5228.31,8642.33,883,1
228,231,1971.36,653.6,3.987,3.4819999999999998,4292.344,5228.34,8640.55,882,1
229,232,1969.59,651.6,3.987,3.463,4286.344,5228.34,8621.08,881,1
230,233,1968.67,651.6,3.987,3.463,4280.344,5228.34,8648.67,880,1
231,234,1966.28,650.0,3.987,3.463,4277.943,5228.34,8596.86,879,1
232,235,1962.97,640.812,3.9939999999999998,3.702,4214.281,5172.98,8750.0,878,1
233,236,1962.94,640.0,3.9810000000000003,3.781,4184.344,5120.34,8671.41,877,1
234,237,1969.38,648.0,3.986,3.469,4263.512,5192.31,8630.66,876,1
235,238,1968.06,652.0,3.986,3.464,4280.375,5228.38,8619.94,875,1
236,239,1966.09,648.0,3.986,3.464,4277.9254,5228.31,8622.12,874,1
237,240,1963.03,646.4,3.986,3.464,4270.775,5192.38,8609.84,873,1
238,241,1961.22,644.4,3.986,3.464,4262.312,5192.31,8647.53,872,1
239,242,1958.5,644.8,3.985,3.465,4256.406,5192.41,8616.53,871,1
240,243,1956.41,642.0,3.985,3.466,4244.344,5192.34,8615.66,870,1
241,244,1955.03,640.8,3.986,3.466,4238.343,5156.34,8619.97,869,1
242,245,1953.62,642.0,3.986,3.465,4232.313,5156.31,8601.12,868,1
243,246,1951.09,643.232,3.986,3.466,4227.513,5156.31,8593.88,867,1
244,247,1950.19,639.2,3.985,3.466,4220.313,5156.31,8615.75,866,1
245,248,1948.62,640.0,3.985,3.466,4220.344,5156.34,8600.94,865,1
246,249,1946.91,639.6,3.985,3.466,4213.175,5156.38,8576.12,864,1
247,250,1945.41,637.6,3.985,3.467,4208.375,5156.38,8613.12,863,1
